"timestamp","happy1","ID","tutorial","travel","direction","born","sports","aware","morning_drink","breakfast","sleep","siblings","siblings_number","pets","beer","coffee","Pineapple_Pizza","Pinky","OS","hand","energy","shoes","phone","Apartment_Size","rooms","apps","countries","CB","Food_Money","season","Drink_Coffee","height","bother","happy2","tutorial_batch","time","major","morning_drink2"
"2026-04-07 12:39:43.472",7,"ottoo5","Tutorial 6 (C5.325)",0.5,"N",400,5,"awake","coffee","yes",8,"no",0,3,2,3,"No",6,"Apple",17,5,19,15.5,27,0,91,10,"yes",90,"Summer","milk",178,4,7,2026,1215,"GESS","coffee"
"2026-04-07 12:39:46.203",7,"denis220","Tutorial 4 (C12.010)",4,"N",450,3,"tired","coffee","yes",8,"yes",2,0,4,4,"No",3,"Microsoft",13,6,7,15,80,2,103,22,"yes",200,"Spring","milk",167,4,8,2026,1215,"GESS","coffee"
"2026-04-07 12:40:06.97",6,"brand19","Tutorial 5 (C11.319)",135,"SW",148,4,"awake","coffee","yes",8,"yes",1,2,2,3,"do_not_mind",6.5,"Microsoft",18,7,10,15.5,137,6,75,15,"yes",250,"Summer","milk",168,10,9,2026,1215,"GESS","coffee"
"2026-04-07 12:40:12.284",7,"lauch5","Tutorial 4 (C12.010)",2,"NE",250,3,"energized","coffee","yes",9,"yes",2,9,3,3,"No",4,"Apple",15,6,20,11,170,5,112,30,"yes",250,"Summer","milk",165,5,7,2026,1215,"GESS","coffee"
"2026-04-07 12:40:14.8",8,"riedw10","Tutorial 4 (C12.010)",11,"NE",454,6.5,"tired","juice","yes",10,"no",0,4,2,2,"do_not_mind",5,"Microsoft",21,6,10,20,100,2,20,40,"No",70,"Summer","Other",157,8,8,2026,1215,"GESS","other"
"2026-04-07 12:40:26.442",4,"opden32","Tutorial 3 (C11.320)",7.5,"N",44,0,"drowsy","water","no",4,"yes",1,2,4,4,"do_not_mind",8,"Neither",20.5,4,4,15,22,0,15,6,"No",70,"Fall","Other",165,4,5,2026,1215,"UWI","water"
"2026-04-07 12:40:47.726",4,"eiche57","Tutorial 5 (C11.319)",3,"NW",122,0,"drowsy","water","yes",8,"yes",4,2,4,4,"No",6,"Microsoft",16,2,5,15.5,125,5,77,9,"No",140,"Spring","sugar_milk",172,7,6,2026,1215,"GESS","water"
"2026-04-07 12:40:48.038",7,"gusta12","Tutorial 5 (C11.319)",0.21,"SE",55,0,"awake","coffee","no",6,"no",0,3,2,2,"No",6,"Apple",19,7,4,14,52,1,230,17,"yes",300,"Summer","milk",176,5,7,2026,1215,"GESS","coffee"
"2026-04-07 12:40:53.683",8,"nacht7","Tutorial 4 (C12.010)",2.5,"S",100,3,"energized","coffee","yes",9,"yes",1,4,2,2,"do_not_mind",7,"Apple",24,7,9,21,55,1,66,15,"No",150,"Spring","milk",172,5,8,2026,1215,"GESS","coffee"
"2026-04-07 12:41:00.587",7,"oeden10","Tutorial 5 (C11.319)",4,"NW",233,2,"tired","tea","yes",8,"yes",2,2,4,4,"Yes",7,"Microsoft",20,8,10,15,60,3,90,10,"No",230,"Spring","sugar_milk",176,9,8,2026,1215,"GESS","tea"
"2026-04-07 12:41:13.995",8,"aufde17","Tutorial 4 (C12.010)",3.5,"N",226,2,"awake","orange_juice","yes",8,"yes",2,1,4,4,"Yes",5.5,"Microsoft",18,9,7,18.5,160,5,177,16,"yes",100,"Spring","sugar_milk",153,3,8,2026,1215,"GESS","other"
"2026-04-07 12:41:17.547",5,"heinz30","Tutorial 3 (C11.320)",80,"S",260,2,"tired","coffee","yes",6,"yes",1,0,1,2,"No",6.5,"Microsoft",22,4,12,16,48,0,123,7,"yes",250,"Fall","black",181,7,5,2026,1215,"UWI","coffee"
"2026-04-07 12:41:29.848",6,"wacho8","Tutorial 5 (C11.319)",0.35,"W",200,1,"awake","juice","yes",8,"no",0,4,3,3,"No",6.5,"Microsoft",18,6,9,13.8,31.69,5,82,20,"yes",200,"Spring","milk",166,9,8,2026,1215,"GESS","other"
"2026-04-07 12:41:44.013",7,"eggew15","Tutorial 4 (C12.010)",3,"SW",102,6,"drowsy","tea","no",7,"yes",2,7,4,4,"do_not_mind",7,"Both",23,7,8,20,100,2,36,25,"No",100,"Spring","black",172,8,8,2026,1215,"GESS","tea"
"2026-04-07 12:41:44.638",7,"stein24","Tutorial 4 (C12.010)",55,"E",8500,0,"tired","water","yes",5,"yes",1,10,3,3,"Yes",6,"Microsoft",17,5,5,15.5,77,1,100,20,"yes",300,"Fall","milk",162,4,6,2026,1215,"GESS","water"
"2026-04-07 12:42:01.157",7,"galge14","Tutorial 5 (C11.319)",3,"NW",619,4,"tired","coffee","yes",7,"yes",1,2,2,2,"Yes",5,"Both",15,5,18,16,250,8,183,13,"No",170,"Spring","milk",173,6,7,2026,1215,"GESS","coffee"
"2026-04-07 12:42:18.226",4,"sauer54","Tutorial 3 (C11.320)",2,"W",64,0,"tired","spezi,_water","no",6,"yes",1,50,1,1,"do_not_mind",5.7,"Microsoft",18,4,34,17,125,1,110,4,"No",300,"Winter","sugar_milk",165,8,4,2026,1215,"UWI","water"
"2026-04-07 12:42:31.234",7,"koble54","Tutorial 3 (C11.320)",2,"N",226,3,"awake","water","yes",7,"yes",2,1,4,2,"do_not_mind",7,"Microsoft",19.5,6,8,15.5,17,6,12,27,"yes",275,"Summer","milk",184,5,6,2026,1215,"UWI","water"
"2026-04-07 12:42:34.864",8,"meien63","Tutorial 5 (C11.319)",2.9,"NW",58,7,"drowsy","water","yes",8,"yes",2,5,2,3,"do_not_mind",6.3,"Apple",21.1,7,16,7.6,61,1,60,27,"yes",110,"Spring","sugar_milk",164,6,8,2026,1215,"GESS","water"
"2026-04-07 12:42:38.72",6,"ratha32","Tutorial 2 (C14.203)",0.2,"S",500,3,"drowsy","tea_and_water","yes",7,"yes",2,6,1,1,"do_not_mind",5,"Apple",20,4,7,13,240,6,6,5,"yes",170,"Spring","Other",173,1,8,2026,1215,"UWI","tea"
"2026-04-07 12:42:50.993",9,"crana46","Tutorial 3 (C11.320)",2,"NW",215,2,"energized","water","yes",7,"yes",1,3,1,1,"No",6,"Apple",21,9,11,14,85,3,122,6,"yes",100,"Spring","Other",172,9,8,2026,1215,"UWI","water"
"2026-04-07 12:42:54.401",5,"silbe26/1","Tutorial 3 (C11.320)",70,"NW",480,6,"drowsy","water","no",8,"yes",2,0,4,4,"Yes",7,"Microsoft",22.5,3,4,17,90,8,212,12,"No",200,"Summer","Other",180,1,4,2026,1215,"UWI","water"
"2026-04-07 12:43:09.754",9,"walst16","Tutorial 3 (C11.320)",55,"NE",55,1,"awake","water","yes",8,"yes",1,2,3,3,"Yes",5,"Microsoft",20,7,15,16,200,3,25,15,"yes",200,"Summer","sugar_milk",171,6,8,2026,1215,"UWI","water"
"2026-04-07 12:43:18.971",7,"kiefe20","Tutorial 3 (C11.320)",4,"NW",170,5,"awake","water","no",8,"yes",2,6,2,4,"do_not_mind",6,"Microsoft",20,9,5,16,68,6,25,13,"yes",200,"Fall","sugar_milk",164,10,7,2026,1215,"UWI","water"
"2026-04-07 12:43:26.462",5,"marti2","Tutorial 2 (C14.203)",0.3,"NE",573,1,"awake","coffee","yes",7,"yes",1,1,3,4,"No",11,"Apple",17,7,9,16,120,4,87,30,"yes",250,"Spring","milk",179,1,5,2026,1215,"UWI","coffee"
"2026-04-07 12:43:40.805",6,"birke28","Tutorial 2 (C14.203)",5,"W",100,5,"drowsy","water","yes",7,"yes",1,0,2,1,"do_not_mind",6,"Apple",20,6,8,13,70,2,20,6,"No",350,"Spring","Other",182,2,6,2026,1215,"UWI","water"
"2026-04-07 12:43:45.4",7,"sacks11a","Tutorial 2 (C14.203)",1,"S",572,3,"drowsy","water","yes",8,"yes",2,4,2,3,"do_not_mind",5,"Apple",19,7,4,15.4,16,1,50,14,"No",200,"Spring","Other",175,3,5,2026,1215,"UWI","water"
"2026-04-07 12:43:53.385",4,"beide36","Tutorial 2 (C14.203)",0.5,"N",40,4,"awake","tee_and_coffee","yes",7,"yes",1,2,4,4,"No",10,"Apple",24,6,6,18,120,7,30,11,"No",240,"Spring","milk",167,8,6,2026,1215,"UWI","coffee"
"2026-04-07 12:44:12.841",8,"bergs4","Tutorial 3 (C11.320)",5,"NE",50,3,"awake","water&tea","no",9,"yes",2,3,1,2,"No",7,"Both",18,9,3,15.5,40,1,120,14,"yes",200,"Winter","milk",178,4,10,2026,1215,"UWI","tea"
"2026-04-07 12:44:15.093",3,"stein47","Tutorial 3 (C11.320)",2.5,"NW",110,4,"tired","water","yes",9,"yes",1,0,2,2,"do_not_mind",6.5,"Microsoft",22,3,3,15.4,54,1,30,15,"yes",250,"Summer","milk",188,9,4,2026,1215,"UWI","water"
"2026-04-07 12:44:24.607",9,"diahr6","Tutorial 3 (C11.320)",2,"N",60,8,"awake","coffee","yes",7,"yes",2,10,3,3,"Yes",6,"Microsoft",20,6,8,16,120,4,110,9,"yes",280,"Summer","milk",183,6,9,2026,1215,"UWI","coffee"
"2026-04-07 12:44:28.365",8,"dorfs34","Tutorial 3 (C11.320)",62.8,"SE",196,3,"drowsy","coffee","no",7,"yes",2,20,2,2,"do_not_mind",6,"Microsoft",18,6,7,8,30,3,5,12,"yes",400,"Summer","milk",179,2,6,2026,1215,"UWI","coffee"
"2026-04-07 12:44:34.544",7,"strem52","Tutorial 3 (C11.320)",1,"E",50,10,"energized","green_tea_with_lemon_juice","yes",8,"yes",1,0,3,3,"Yes",7,"Microsoft",20,8,5,16,18,5,131,10,"yes",200,"Summer","milk",192,2,8,2026,1215,"UWI","tea"
"2026-04-07 12:44:39.417",6,"lipia3","Tutorial 2 (C14.203)",0.5,"SW",50,0,"awake","water","no",7,"no",0,3,1,1,"Yes",7,"Apple",21,6,6,16,17,0,20,10,"yes",80,"Summer","milk",184,6,7,2026,1215,"UWI","water"
"2026-04-07 12:44:45.195",6,"lorns154","Tutorial 2 (C14.203)",2,"N",80,7,"tired","water","yes",7,"yes",1,2,2,3,"do_not_mind",5,"Apple",8,6,5,9,80,2,30,8,"yes",150,"Spring","sugar_milk",172,7,6,2026,1215,"UWI","water"
"2026-04-07 12:44:53.532",7,"bären8","Tutorial 3 (C11.320)",2.5,"NW",70,3,"awake","water","yes",6,"no",0,0,2,2,"Yes",6,"Microsoft",20,7,4,15,44,1,53,14,"No",200,"Summer","Other",184,5,7,2026,1215,"UWI","water"
"2026-04-07 12:44:57.621",8,"arndt17","Tutorial 2 (C14.203)",2,"S",150,3,"awake","tea","yes",10,"no",0,8,3,3,"Yes",4.5,"Apple",15,7,9,14.6,100,7,200,50,"yes",300,"Fall","milk",173,5,8,2026,1215,"UWI","tea"
